,driverId,driver_name,total_wins,final_position
260,846,Lando Norris,3,9.0
261,855,Guanyu Zhou,3,9.0
262,16,Adrian Sutil,2,9.0
263,30,Michael Schumacher,2,9.0
264,67,Sébastien Buemi,2,9.0
265,813,Pastor Maldonado,2,9.0
266,818,Jean-Éric Vergne,2,9.0
267,822,Valtteri Bottas,2,9.0
268,838,Stoffel Vandoorne,2,9.0
269,841,Antonio Giovinazzi,2,9.0
270,847,George Russell,2,9.0
271,852,Yuki Tsunoda,2,9.0
272,17,Mark Webber,1,9.0
273,22,Rubens Barrichello,1,9.0
274,811,Bruno Senna,1,9.0
275,828,Marcus Ericsson,1,9.0
276,844,Charles Leclerc,1,9.0
277,849,Nicholas Latifi,1,9.0
278,856,Nyck de Vries,1,9.0
279,857,Oscar Piastri,1,9.0
280,859,Liam Lawson,1,9.0
281,840,Lance Stroll,11,10.0
282,815,Sergio Pérez,10,10.0
283,807,Nico Hülkenberg,9,10.0
284,825,Kevin Magnussen,9,10.0
285,839,Esteban Ocon,9,10.0
286,8,Kimi Räikkönen,6,10.0
287,817,Daniel Ricciardo,6,10.0
288,842,Pierre Gasly,6,10.0
289,18,Jenson Button,5,10.0
290,20,Sebastian Vettel,5,10.0
291,811,Bruno Senna,5,10.0
292,832,Carlos Sainz,5,10.0
293,852,Yuki Tsunoda,5,10.0
294,13,Felipe Massa,4,10.0
295,154,Romain Grosjean,4,10.0
296,814,Paul di Resta,4,10.0
297,822,Valtteri Bottas,4,10.0
298,826,Daniil Kvyat,4,10.0
299,848,Alexander Albon,4,10.0
300,3,Nico Rosberg,3,10.0
301,4,Fernando Alonso,3,10.0
302,841,Antonio Giovinazzi,3,10.0
303,846,Lando Norris,3,10.0
304,1,Lewis Hamilton,2,10.0
305,16,Adrian Sutil,2,10.0
306,30,Michael Schumacher,2,10.0
307,155,Kamui Kobayashi,2,10.0
308,818,Jean-Éric Vergne,2,10.0
309,828,Marcus Ericsson,2,10.0
310,830,Max Verstappen,2,10.0
311,843,Brendon Hartley,2,10.0
312,844,Charles Leclerc,2,10.0
313,855,Guanyu Zhou,2,10.0
314,9,Robert Kubica,1,10.0
315,67,Sébastien Buemi,1,10.0
316,153,Jaime Alguersuari,1,10.0
317,813,Pastor Maldonado,1,10.0
318,831,Felipe Nasr,1,10.0
319,835,Jolyon Palmer,1,10.0
320,836,Pascal Wehrlein,1,10.0
321,847,George Russell,1,10.0
322,857,Oscar Piastri,1,10.0
323,858,Logan Sargeant,1,10.0
324,815,Sergio Pérez,10,11.0
325,840,Lance Stroll,8,11.0
326,842,Pierre Gasly,8,11.0
327,807,Nico Hülkenberg,7,11.0
