,qualifying_position,diff_qual_final,num_pit_stops,driver_points,lap_time,stop_duration,constructor_points,starting_grid_position,final_position
141,4,1.0,1,209.0,109966,20828,558.0,4,3.0
142,3,-1.0,1,222.0,111861,20766,418.0,3,4.0
143,6,1.0,1,212.0,111557,20978,310.0,6,5.0
144,5,-1.0,1,98.0,110795,23642,310.0,5,6.0
145,11,4.0,1,22.0,115953,22301,37.0,11,7.0
146,7,-1.0,1,67.0,112471,20091,127.0,7,8.0
147,13,4.0,1,15.0,118501,22098,37.0,13,9.0
148,9,-1.0,1,21.0,114125,22075,49.0,9,10.0
149,10,-1.0,1,28.0,115474,24820,49.0,10,11.0
150,18,6.0,1,4.0,117768,21722,5.0,18,12.0
151,1,0.0,1,374.0,94881,21415,595.0,1,1.0
152,5,3.0,1,240.0,96184,21092,442.0,4,2.0
153,4,1.0,1,227.0,97641,21873,325.0,3,3.0
154,3,-1.0,1,221.0,96909,21392,595.0,2,4.0
155,12,7.0,1,70.0,100462,20893,145.0,11,5.0
156,7,1.0,1,75.0,99752,21149,145.0,7,6.0
157,2,-5.0,1,202.0,99326,22530,442.0,5,7.0
158,2,1.0,1,227.0,110984,19439,482.0,2,1.0
159,5,3.0,1,245.0,113560,20211,353.0,5,2.0
160,3,0.0,1,255.0,114263,20908,482.0,3,3.0
161,4,0.0,1,233.0,114836,25182,607.0,4,4.0
162,6,1.0,1,108.0,115291,20471,353.0,6,5.0
163,7,1.0,1,83.0,116239,19785,159.0,7,6.0
164,8,1.0,1,76.0,116950,19660,159.0,8,7.0
165,9,1.0,1,34.0,117646,20356,57.0,9,8.0
166,10,1.0,1,23.0,119226,20216,57.0,10,9.0
167,2,1.0,1,258.0,83527,20755,650.0,2,1.0
168,1,-1.0,1,392.0,82384,20927,650.0,1,2.0
169,3,0.0,1,270.0,84580,22005,497.0,3,3.0
170,5,1.0,1,257.0,85195,20773,375.0,5,4.0
171,7,2.0,1,118.0,86525,21696,375.0,7,5.0
172,2,1.0,1,25.0,99264,23275,40.0,2,1.0
173,6,4.0,1,18.0,103029,24256,30.0,6,2.0
174,1,-2.0,1,15.0,100622,22862,40.0,1,3.0
175,5,1.0,1,12.0,105336,23302,30.0,5,4.0
176,12,7.0,1,10.0,104733,22035,10.0,12,5.0
177,13,7.0,1,8.0,106880,25346,12.0,13,6.0
178,18,11.0,1,6.0,108460,24881,6.0,17,7.0
179,17,9.0,1,4.0,107256,23882,12.0,22,8.0
180,10,1.0,1,2.0,157333,32319,2.0,10,9.0
181,15,5.0,1,1.0,110849,24933,1.0,15,10.0
182,11,0.0,1,0.0,112099,23203,2.0,11,11.0
183,7,-5.0,1,0.0,102666,23203,0.0,7,12.0
184,9,8.0,1,35.0,127439,24653,35.0,8,1.0
185,10,8.0,1,22.0,133327,25671,30.0,9,2.0
